Fe II 1083  1083.4204 0.004060  2.000E8  
Fe II 1081  1081.8748 0.014000  2.000E8  
Fe II 1063.9  1063.9718 0.004500  3.313e7  
Fe II 1063.1  1063.176  0.060000  3.539E8  
Fe II 1062  1062.152  0.003800  2.248e7  
Fe II 1055  1055.2617 0.00800   5.989e7  
Fe III 1122 1122.524  0.054400  5.366e8
Ni I  2320  2320.7468 0.685     6.940e8
Ni I  2311  2311.669  0.376500  4.700e8
Ni II 1751  1751.9157 0.027700  3.700e8
Ni II 1741  1741.5531 0.042700  5.000e8
Ni II 1709  1709.6042 0.0324    4.350e8
Ni II 1703  1703.4119 0.01224   5.000e8
Ni II 1502  1502.148  0.00600   3.932e7
Ni II 1467  1467.756  0.00990   2.300e7
Ni II 1467  1467.259  0.00630   2.930e7
Ni II 1454  1454.842  0.0323    1.020e8
Ni II 1393  1393.324  0.0101    3.470e7
Ni II 1370  1370.132  0.0769    4.100e8
Ni II 1317  1317.217  0.0571    4.205e8
